Nº chamada;Nº REDS;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual;Evento associado
2025-40563281-9;(BM) 2025-033688400-001;20/07/2025 20:38;RUA GERSON RIBEIRO, Nº 270 - NOVA CALIFORNIA - PASSOS;;;V02102 - VITIMA DE ATROPELAMENTO POR MOTOCICLETA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;21/07/2025 17:39;Não
2026-44429601-0;(BM) 2026-011428968-001;08/03/2026 08:54;RUA REGISTRO, Nº 2001 - CONTAGEM;-198.932.026;-440.936.632;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);BM1551159;Não;Não;Não;;Em controle;08/03/2026 10:41;Não
2026-44584088-0;(BM) 2026-012334912-001;17/03/2026 07:35;AVENIDA PALMARES, Nº 36 - SERRA DAS BRISAS - PASSOS;-207.331.413;-465.974.217;V01007 - VITIMA COM DISPNEIA (FALTA DE AR) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;;Terminada;17/03/2026 08:52;Não
2026-44584626-0;(BM) 2026-012333175-001;17/03/2026 08:23;RUA ELZO CALIXTO MATTAR, Nº 587 - SANTA RITA - PASSOS;-207.321.415;-466.118.963;S06001 - SALVAMENTO DE ANIMAL EM RISCO / PERIGO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;;Terminada;17/03/2026 09:52;Não
2026-44584891-0;(BM) 2026-012332807-001;17/03/2026 08:45;RUA PECUARIA, Nº 470 - RESIDENCIAL ELDORADO - PASSOS;-207.290.697;-466.185.357;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);VOB00480;Não;Não;Não;;Terminada;17/03/2026 09:51;Não
2026-44585775-5;(BM) 2026-012344043-001;17/03/2026 09:54;RUA CAETES, Nº S/N - NOSSA SENHORA APARECIDA - PASSOS;-20.743.907;-466.081.916;V02105 - VITIMA DE ATROPELAMENTO POR ONIBUS / MICRO-ONIBUS (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Sim;Não;Não;;Terminada;17/03/2026 10:55;Não
2026-44586764-4;(BM) 2026-012369573-001;17/03/2026 11:09;RODOVIA GERALDO MARTINS COSTA, Nº 14015 - BORTOLAN - POCOS DE CALDAS;;;P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média);1CIA IND/1CIA/1PEL;ASM10134;Não;Não;Não;;Terminada;17/03/2026 12:33;Não
2026-44588043-3;(BM) 2026-012371018-001;17/03/2026 12:57;RUA LAVRAS, Nº 28 - FURNAS - SAO JOSE DA BARRA;-206.750.205;-46.335.505;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;;À caminho;17/03/2026 12:57;Não
