Nº chamada;Nº REDS;Data/hora de criação;Local do fato;Latitude  do local;Longitude do local;Natureza;Unidade Responsável;Recursos empenhados;Alerta;Destaque;Envolve autoridade;Tipo de classificação;Situação;Data/hora da situação atual;Evento associado
2025-40563281-9;(BM) 2025-033688400-001;20/07/2025 20:38;RUA GERSON RIBEIRO, Nº 270 - NOVA CALIFORNIA - PASSOS;;;V02102 - VITIMA DE ATROPELAMENTO POR MOTOCICLETA (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;BOLETIM DE OCORRENCIA;Classificada;21/07/2025 17:39;Não
2026-44410378-6;(BM) 2026-010674501-001;07/03/2026 08:03;RUA ANA CANDIDA DE JESUS, Nº 200 - JARDIM ITALIA - PASSOS;;;P03001 - PERIGO DE DERRAPAGEM (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);VOB00480;Não;Não;Não;;Terminada;07/03/2026 08:55;Não
2026-44410652-6;;07/03/2026 08:28;RUA DOIS, Nº S/N - JARDIM IMPERIAL - POCOS DE CALDAS;;;P02011 - VISTORIA EM ENXAME DE INSETOS (C) (Prioridade: 2 - Média);1CIA IND (POCOS DE CALDAS);;Não;Não;Não;;Atribuída ao órgão;07/03/2026 08:28;Não
2026-44411982-6;(BM) 2026-010686835-001;07/03/2026 10:27;AVENIDA EXPEDICIONARIOS, Nº S/N - MIRANTE DO VALE - PASSOS;-207.256.744;-465.818.365;X03000 - EMPENHO ADMINISTRATIVO (C) (Prioridade: 2 - Média);1CIA IND/2CIA/1PEL(PASSOS);ASL06087;Não;Não;Não;;Terminada;07/03/2026 12:08;Não
2026-44412115-8;;07/03/2026 10:39;AVENIDA COMENDADOR FRANCISCO A MAIA, Nº 2592 - CENTRO - PASSOS;;;V02502 - VITIMA DE QUEDA (MOTOCICLISTA) (C) (Prioridade: 1 - Alta);1CIA IND/2CIA/1PEL(PASSOS);UR04360;Não;Não;Não;;Terminada;07/03/2026 11:22;Não
2026-44412463-4;;07/03/2026 11:10;RUA BELA VISTA, Nº 282 - NOVO TUPI - BELO HORIZONTE;;;S06007 - CORTE / PODA DE ARVORE COM RISCO IMINENTE DE QUEDA (C) (Prioridade: 2 - Média);1CIA IND/3CIA/1PEL(ALFENAS);;Não;Não;Não;;Atribuída ao órgão;07/03/2026 12:41;Não
